transactTime,"symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID","orderID2"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","118","9449","-1248794","0.00075","936","Stop","15000","9199","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","16","9449","-169328","0.00075","126","Stop","15000","9317","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","300","9449","-3174900","0.00075","2381","Stop","15000","9333","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","400","9449","-4233200","0.00075","3174","Stop","15000","9633","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","27","9449","-285741","0.00075","214","Stop","15000","10033","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","25","9449","-264575","0.00075","198","Stop","15000","10060","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","100","9449","-1058300","0.00075","793","Stop","15000","10085","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","2000","9449","-21166000","0.00075","15874","Stop","15000","10185","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","89","9449","-941887","0.00075","706","Stop","15000","12185","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","100","9449","-1058300","0.00075","793","Stop","15000","12274","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","50","9449","-529150","0.00075","396","Stop","15000","12374","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","100","9449","-1058300","0.00075","793","Stop","15000","12424","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","1533","9449","-16223739","0.00075","12167","Stop","15000","12524","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","100","9449","-1058300","0.00075","793","Stop","15000","14057","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","50","9449","-529150","0.00075","396","Stop","15000","14157","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","210","9449","-2222430","0.00075","1666","Stop","15000","14207","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","583","9449","-6169889","0.00075","4627","Stop","15000","14417","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
29.5.2020, 10:23:52,"XBTUSD","Trade","Sell","15000","9455","158640000","0.00075","118980","Stop","15000","0","9455","Triggered: Order stop price reached
Submitted via API.","26b5fe28-3218-6ad3-616d-996df5ba037b"
29.5.2020, 10:14:15,"XBTUSD","Trade","Buy","2170","9553","-22715560","0.00075","17036","Stop","15000","0","9553","Triggered: Order stop price reached
Submitted via API.","e3949626-8bdb-8138-54c6-add28c2ed4d8"
29.5.2020, 10:14:15,"XBTUSD","Trade","Buy","12830","9551","-134330100","0.00075","100747","Stop","15000","2170","9553","Triggered: Order stop price reached
Submitted via API.","e3949626-8bdb-8138-54c6-add28c2ed4d8"
29.5.2020, 02:12:52,"XBTUSD","Trade","Sell","15000","9548.5","157095000","0.00075","117821","Stop","15000","0","9548.5","Triggered: Order stop price reached
Submitted via API.","ce5cae3b-5d8c-1878-8d64-82e39d2010b4"
29.5.2020, 00:45:27,"XBTUSD","Trade","Buy","2510","9550.5","-26282210","0.00075","19711","Stop","15000","0","9550.5","Triggered: Order stop price reached
Submitted via API.","f09ecd2d-1b54-7385-17d6-01864948b0d1"
29.5.2020, 00:45:27,"XBTUSD","Trade","Buy","1000","9550.5","-10471000","0.00075","7853","Stop","15000","2510","9550.5","Triggered: Order stop price reached
Submitted via API.","f09ecd2d-1b54-7385-17d6-01864948b0d1"
29.5.2020, 00:45:27,"XBTUSD","Trade","Buy","11490","9550.5","-120311790","0.00075","90233","Stop","15000","3510","9550.5","Triggered: Order stop price reached
Submitted via API.","f09ecd2d-1b54-7385-17d6-01864948b0d1"
28.5.2020, 18:01:14,"XBTUSD","Trade","Sell","833","9491","8776488","0.00075","6582","Stop","15000","0","9491","Triggered: Order stop price reached
Submitted via API.","036754a8-7129-4361-9bf5-6ff3d12d647f"
28.5.2020, 18:01:14,"XBTUSD","Trade","Sell","14167","9491","149263512","0.00075","111947","Stop","15000","833","9491","Triggered: Order stop price reached
Submitted via API.","036754a8-7129-4361-9bf5-6ff3d12d647f"
28.5.2020, 14:07:57,"XBTUSD","Trade","Buy","15000","9306.5","-161175000","0.00075","120881","Stop","15000","0","9306.5","Triggered: Order stop price reached
Submitted via API.","cdc35f3a-057a-2394-57b5-4893b396183c"
28.5.2020, 04:00:13,"XBTUSD","Trade","Sell","15000","9221","162675000","0.00075","122006","Market","15000","0","9221","Submitted via API.","edb6206c-5011-339c-3e7b-e9fd217cad8c"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","5102","9230","-55275068","0.00075","41456","Stop","15000","0","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","48","9230","-520032","0.00075","390","Stop","15000","5102","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","33","9230","-357522","0.00075","268","Stop","15000","5150","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","33","9230","-357522","0.00075","268","Stop","15000","5183","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","278","9230","-3011852","0.00075","2258","Stop","15000","5216","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","278","9230","-3011852","0.00075","2258","Stop","15000","5494","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","8","9230","-86672","0.00075","65","Stop","15000","5772","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
28.5.2020, 02:59:06,"XBTUSD","Trade","Buy","9220","9230","-99889480","0.00075","74917","Stop","15000","5780","9230","Triggered: Order stop price reached
Submitted via API.","6f3ecf65-e1f9-5b7f-75ad-c1a5317700d4"
27.5.2020, 16:00:26,"XBTUSD","Trade","Sell","15000","9144","164040000","0.00075","123030","Market","15000","0","9144","Submitted via API.","0cf603da-d065-af75-94f4-c22f3602f5f8"
27.5.2020, 14:00:00,"XBTUSD","Funding","","15000","9150.4","-163920000","0.000048","7868","Limit","15000","0","9150.4","Funding","00000000-0000-0000-0000-000000000000"
27.5.2020, 12:29:46,"XBTUSD","Trade","Buy","15000","9017.5","-166350000","0.00075","124762","Stop","15000","0","9017.5","Triggered: Order stop price reached
Submitted via API.","9b9b8c7e-c52c-bffc-4d06-b9615c1274b3"
26.5.2020, 11:30:32,"XBTUSD","Trade","Sell","15000","8882.5","168870000","0.00075","126652","Stop","15000","0","8882.5","Triggered: Order stop price reached
Submitted via API.","7eb202da-8041-f70c-06a9-4abcdd87aae1"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","6975","8981.5","-77659650","0.00075","58244","Stop","15000","0","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","234","8981.5","-2605356","0.00075","1954","Stop","15000","6975","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","2000","8981.5","-22268000","0.00075","16701","Stop","15000","7209","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","5000","8981.5","-55670000","0.00075","41752","Stop","15000","9209","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","6","8981.5","-66804","0.00075","50","Stop","15000","14209","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","40","8981.5","-445360","0.00075","334","Stop","15000","14215","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","60","8981.5","-668040","0.00075","501","Stop","15000","14255","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","140","8981.5","-1558760","0.00075","1169","Stop","15000","14315","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","30","8981.5","-334020","0.00075","250","Stop","15000","14455","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
26.5.2020, 10:06:26,"XBTUSD","Trade","Buy","515","8981.5","-5734010","0.00075","4300","Stop","15000","14485","8981.5","Triggered: Order stop price reached
Submitted via API.","9a59a2d6-0635-2daa-7c4e-8895507dc734"
25.5.2020, 22:17:48,"XBTUSD","Trade","Sell","15000","8926.5","168045000","0.00075","126033","Stop","15000","0","8926.5","Triggered: Order stop price reached
Submitted via API.","bddc0bab-eec7-36dc-00cb-a212e9a6ab40"
25.5.2020, 22:00:00,"XBTUSD","Funding","","15000","8936.22","-167850000","-0.000147","-24674","Limit","15000","0","8936.22","Funding","00000000-0000-0000-0000-000000000000"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","6513","8877","-73368945","0.00075","55026","Stop","15000","0","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","100","8877","-1126500","0.00075","844","Stop","15000","6513","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","500","8877","-5632500","0.00075","4224","Stop","15000","6613","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","100","8877","-1126500","0.00075","844","Stop","15000","7113","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","20","8877","-225300","0.00075","168","Stop","15000","7213","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","130","8877","-1464450","0.00075","1098","Stop","15000","7233","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","450","8877","-5069250","0.00075","3801","Stop","15000","7363","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","28","8877","-315420","0.00075","236","Stop","15000","7813","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","60","8877","-675900","0.00075","506","Stop","15000","7841","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","53","8877","-597045","0.00075","447","Stop","15000","7901","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","60","8877","-675900","0.00075","506","Stop","15000","7954","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","14","8877","-157710","0.00075","118","Stop","15000","8014","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","3200","8877","-36048000","0.00075","27036","Stop","15000","8028","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","2000","8877","-22530000","0.00075","16897","Stop","15000","11228","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 19:35:03,"XBTUSD","Trade","Buy","1772","8877","-19961580","0.00075","14971","Stop","15000","13228","8877","Triggered: Order stop price reached
Submitted via API.","823421e9-0533-bf34-fc5d-d995c354c2a3"
25.5.2020, 10:16:39,"XBTUSD","Trade","Sell","15000","8828","169920000","0.00075","127440","Stop","15000","0","8828","Triggered: Order stop price reached
Submitted via API.","137ddf6b-3d78-ead1-6a63-d3f5262ef4f9"
25.5.2020, 09:32:43,"XBTUSD","Trade","Buy","2802","8815","-31785888","0.00075","23839","Stop","15000","0","8815","Triggered: Order stop price reached
Submitted via API.","f809edd9-be07-0642-1d62-65ef3099ab25"
25.5.2020, 09:32:43,"XBTUSD","Trade","Buy","10000","8815","-113440000","0.00075","85080","Stop","15000","2802","8815","Triggered: Order stop price reached
Submitted via API.","f809edd9-be07-0642-1d62-65ef3099ab25"
25.5.2020, 09:32:43,"XBTUSD","Trade","Buy","2198","8814.5","-24936310","0.00075","18702","Stop","15000","12802","8815","Triggered: Order stop price reached
Submitted via API.","f809edd9-be07-0642-1d62-65ef3099ab25"
23.5.2020, 04:00:12,"XBTUSD","Trade","Sell","3233","9237.5","34997225","0.00075","26247","Market","15000","0","9237.5","Submitted via API.","3f45618f-58f0-9783-843e-d03943e38b00"
23.5.2020, 04:00:12,"XBTUSD","Trade","Sell","1500","9237.5","16237500","0.00075","12178","Market","15000","3233","9237.5","Submitted via API.","3f45618f-58f0-9783-843e-d03943e38b00"
23.5.2020, 04:00:12,"XBTUSD","Trade","Sell","1500","9237.5","16237500","0.00075","12178","Market","15000","4733","9237.5","Submitted via API.","3f45618f-58f0-9783-843e-d03943e38b00"
23.5.2020, 04:00:12,"XBTUSD","Trade","Sell","8767","9237.5","94902775","0.00075","71177","Market","15000","6233","9237.5","Submitted via API.","3f45618f-58f0-9783-843e-d03943e38b00"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","1898","9265","-20485114","0.00075","15363","Stop","15000","0","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","1","9265","-10793","0.00075","8","Stop","15000","1898","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","25","9265","-269825","0.00075","202","Stop","15000","1899","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","25","9265","-269825","0.00075","202","Stop","15000","1924","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","50","9265","-539650","0.00075","404","Stop","15000","1949","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","24","9265","-259032","0.00075","194","Stop","15000","1999","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","47","9265","-507271","0.00075","380","Stop","15000","2023","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","100","9265","-1079300","0.00075","809","Stop","15000","2070","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","1000","9265","-10793000","0.00075","8094","Stop","15000","2170","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","10000","9265","-107930000","0.00075","80947","Stop","15000","3170","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
23.5.2020, 03:14:29,"XBTUSD","Trade","Buy","1830","9265","-19751190","0.00075","14813","Stop","15000","13170","9265","Triggered: Order stop price reached
Submitted via API.","c552fa9e-2eef-f208-1b69-f024217c7c2b"
20.5.2020, 08:44:35,"XBTUSD","Trade","Sell","8950","9724.5","92032850","0.00075","69024","Stop","15000","0","9724.5","Triggered: Order stop price reached
Submitted via API.","3423fe1e-d364-acac-9b3d-07a421be4698"
20.5.2020, 08:44:35,"XBTUSD","Trade","Sell","6050","9724.5","62212150","0.00075","46659","Stop","15000","8950","9724.5","Triggered: Order stop price reached
Submitted via API.","3423fe1e-d364-acac-9b3d-07a421be4698"
20.5.2020, 08:30:18,"XBTUSD","Trade","Buy","15000","9820","-152745000","0.00075","114558","Stop","15000","0","9820","Triggered: Order stop price reached
Submitted via API.","658ffcb1-5e88-f7e3-c278-b5d414eed58e"
20.5.2020, 02:30:17,"XBTUSD","Trade","Sell","15000","9750","153840000","0.00075","115380","Stop","15000","0","9750","Triggered: Order stop price reached
Submitted via API.","7296502b-1b66-f0ef-c273-de81ab5467ab"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","448","9736.5","-4601408","0.00075","3451","Stop","15000","0","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","100","9736","-1027100","0.00075","770","Stop","15000","448","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","100","9736","-1027100","0.00075","770","Stop","15000","548","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","50","9736","-513550","0.00075","385","Stop","15000","648","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","50","9736","-513550","0.00075","385","Stop","15000","698","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","5000","9736","-51355000","0.00075","38516","Stop","15000","748","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","53","9736","-544363","0.00075","408","Stop","15000","5748","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
20.5.2020, 00:31:33,"XBTUSD","Trade","Buy","9199","9736","-94482929","0.00075","70862","Stop","15000","5801","9736.5","Triggered: Order stop price reached
Submitted via API.","5fc96429-3dea-414e-5e18-02c0b691f60c"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","529","9755","5422779","0.00075","4067","Stop","15000","0","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","25","9755","256275","0.00075","192","Stop","15000","529","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","200","9755","2050200","0.00075","1537","Stop","15000","554","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","500","9755","5125500","0.00075","3844","Stop","15000","754","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","869","9755","8908119","0.00075","6681","Stop","15000","1254","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","1000","9755","10251000","0.00075","7688","Stop","15000","2123","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","210","9755","2152710","0.00075","1614","Stop","15000","3123","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","1250","9755","12813750","0.00075","9610","Stop","15000","3333","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4583","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4613","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4643","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4673","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4703","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4733","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4763","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4793","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4823","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","30","9755","307530","0.00075","230","Stop","15000","4853","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
19.5.2020, 13:29:46,"XBTUSD","Trade","Sell","1000","9755","10251000","0.00075","7688","Stop","15000","4883","9755","Triggered: Order stop price reached
Submitted via API.","4be92658-dfae-33d6-c3df-a4bcf76e1818"
